ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
5634,3392,1,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4,Good,809.98,26.82261962,265,No,49.57494921,21.46538026,High_spent_Small_value_payments,312.4940887,Good
5635,3392,2,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,4,11.27,4,Good,809.98,31.94496006,266,No,49.57494921,21.46538026,Low_spent_Large_value_payments,284.6291625,Good
5636,3392,3,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4,Good,809.98,28.60935202,267,No,49.57494921,21.46538026,Low_spent_Medium_value_payments,331.2098629,Good
5637,3392,4,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5,4,6.27,4,Good,809.98,31.37786187,268,No,49.57494921,21.46538026,Low_spent_Small_value_payments,223.4513097,Good
5638,3392,5,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,4,11.27,4,Good,809.98,24.79734691,269,No,49.57494921,21.46538026,High_spent_Medium_value_payments,341.489231,Good
5639,3392,6,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,4,9.27,4,Good,809.98,27.26225871,270,No,49.57494921,21.46538026,High_spent_Medium_value_payments,340.4792118,Good
5640,3392,7,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8,11.27,4,Good,809.98,22.53759303,271,No,49.57494921,21.46538026,Low_spent_Small_value_payments,244.5653167,Good
5641,3392,8,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4,Good,809.98,23.9337948,272,No,49.57494921,21.46538026,High_spent_Medium_value_payments,358.1241676,Standard
5646,8625,1,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,24.46403064,319,No,18.81621457,39.68401842,Low_spent_Small_value_payments,470.6906269,Standard
5647,8625,2,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,7,1,7.42,2,Good,605.03,38.55084843,320,No,18.81621457,39.68401842,High_spent_Large_value_payments,484.5912143,Good
5648,8625,3,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,1,5.42,2,Good,605.03,33.22495079,321,No,18.81621457,39.68401842,High_spent_Large_value_payments,466.4664764,Standard
